customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count,tenure_days,churn_risk,complaints_total,escalated_any,avg_csat,score_decile
0001-LNIVG,2023-06-24,Paid,2024-06-24,Basic,Monthly,2024-04-05,Technical problems,6.99,60,85,1,pallavi,India,Kerala,Female,1991-02-27,2023-07-30,1,10.0,1.0,286.0,high,1,1,10.0,10
0031-ETJDH,2021-01-21,Paid,2027-01-21,Premium,Annual,,,22.99,2230,39,0,anjali,India,Telangana,Male,1997-10-31,2024-08-25,0,70.0,1.0,2056.0,low,1,0,70.0,4
0032-MDZHM,2024-09-26,Paid,2026-09-26,Basic,Annual,,,7.99,331,23,0,arjun,India,Delhi,Female,1983-05-16,,0,,,712.0,low,0,0,,2
0044-BFWLS,2023-01-12,Paid,2027-01-12,Premium,Monthly,,,25.99,1409,49,0,rohit,India,Rajasthan,Male,1976-07-01,,0,,,1335.0,low,0,0,,6
0048-DHBNU,2020-02-11,Organic,2024-02-11,Premium,Monthly,2023-05-18,Poor service quality,22.99,839,48,1,naveen,India,Maharashtra,Male,1995-05-24,2021-05-05,0,50.0,1.0,1192.0,low,1,0,50.0,5
0054-LZLSG,2024-03-24,Organic,2027-03-24,Standard,Monthly,,,15.99,658,50,0,akash,India,Rajasthan,Male,1971-11-22,,0,,,898.0,med,0,0,,6
0064-FROIM,2025-09-07,Organic,2027-09-07,Standard,Annual,,,13.99,554,21,0,ritu,India,Telangana,Male,1977-07-15,2026-06-12,0,80.0,1.0,366.0,low,1,0,80.0,1
0065-OTOJV,2024-07-25,Refferal,2027-07-25,Premium,Annual,,,25.99,1184,7,0,divya,India,Maharashtra,Male,2000-05-18,2026-02-20,0,100.0,1.0,775.0,low,1,0,100.0,1
0067-LZKRN,2022-05-14,Paid,2027-05-14,Basic,Monthly,,,6.99,438,71,0,pallavi,India,Maharashtra,Male,1962-08-31,,0,,,1578.0,high,0,0,,9
0082-WTTKU,2019-08-17,Organic,2027-08-17,Standard,Monthly,,,13.99,1563,55,0,mira,India,Rajasthan,Female,2005-02-16,2026-01-01,1,40.0,1.0,2579.0,med,1,1,40.0,7
